epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1847.88,1.33813,0.54006,0.98182,0.90874,0.87348,0.92349,0.48195,1.65126,0.64868,1.11158,0.0005941,0.0005941,0.0005941
43,1891.61,1.32155,0.53362,0.97787,0.90694,0.88213,0.92,0.48261,1.64072,0.65342,1.10597,0.0005842,0.0005842,0.0005842
44,1935.3,1.31826,0.53583,0.97505,0.89299,0.90406,0.92714,0.48389,1.64449,0.64637,1.10631,0.0005743,0.0005743,0.0005743
45,1979.1,1.3201,0.53109,0.96966,0.89127,0.90406,0.93283,0.48991,1.63562,0.64068,1.10536,0.0005644,0.0005644,0.0005644
46,2022.78,1.31758,0.52899,0.97705,0.90269,0.88999,0.92821,0.48453,1.64218,0.64255,1.11352,0.0005545,0.0005545,0.0005545
47,2066.52,1.30313,0.5269,0.97179,0.90224,0.88706,0.92559,0.48213,1.65091,0.64548,1.11986,0.0005446,0.0005446,0.0005446
48,2110.28,1.27981,0.51577,0.96307,0.901,0.8931,0.92906,0.48538,1.64258,0.64072,1.11894,0.0005347,0.0005347,0.0005347
49,2154.04,1.2863,0.5193,0.96143,0.9122,0.88542,0.92945,0.48566,1.64192,0.64108,1.10657,0.0005248,0.0005248,0.0005248
50,2197.79,1.28768,0.51742,0.96389,0.90334,0.88706,0.92196,0.48237,1.65027,0.6445,1.11367,0.0005149,0.0005149,0.0005149
51,2241.25,1.27836,0.51778,0.9558,0.8892,0.90632,0.92612,0.48051,1.6513,0.64218,1.11411,0.000505,0.000505,0.000505
52,2284.49,1.28525,0.52039,0.96428,0.90851,0.88377,0.92098,0.47471,1.65784,0.65041,1.1228,0.0004951,0.0004951,0.0004951
53,2328.27,1.27008,0.51267,0.96097,0.9013,0.89364,0.92667,0.48258,1.64176,0.63637,1.11283,0.0004852,0.0004852,0.0004852
54,2371.96,1.25116,0.50175,0.94864,0.90021,0.892,0.92389,0.47735,1.65844,0.63802,1.11893,0.0004753,0.0004753,0.0004753
55,2415.68,1.24602,0.50143,0.94805,0.90519,0.8846,0.92355,0.48083,1.6557,0.64416,1.12012,0.0004654,0.0004654,0.0004654
56,2459.44,1.24214,0.49958,0.94738,0.89765,0.88651,0.91822,0.47616,1.6499,0.65182,1.1138,0.0004555,0.0004555,0.0004555
57,2503.23,1.2363,0.49583,0.94652,0.90502,0.88808,0.92073,0.47957,1.65871,0.65161,1.11603,0.0004456,0.0004456,0.0004456
58,2546.51,1.2342,0.49676,0.94247,0.88773,0.89731,0.92178,0.48264,1.65837,0.64775,1.11868,0.0004357,0.0004357,0.0004357
59,2590.33,1.22959,0.49436,0.94773,0.90805,0.88248,0.91829,0.47862,1.65399,0.64891,1.12056,0.0004258,0.0004258,0.0004258
60,2634.05,1.23001,0.49437,0.94208,0.88359,0.90296,0.91885,0.47649,1.65438,0.6451,1.12509,0.0004159,0.0004159,0.0004159
61,2677.78,1.22486,0.49327,0.94373,0.89332,0.89522,0.91933,0.47868,1.66521,0.65028,1.13128,0.000406,0.000406,0.000406
62,2721.54,1.20134,0.48665,0.93869,0.89987,0.89179,0.92104,0.47923,1.64737,0.64561,1.12665,0.0003961,0.0003961,0.0003961
